x,y,z,elevation,aspect,slope,twi
-100.625,35.875,0.196436107,815,2.332940817,0.020542545,14.14025211
-100.375,35.875,0.196661353,775,0.532100141,0.011512134,11.31267548
-100.125,35.875,0.126469895,712,3.169378281,0.01175753,12.24852371
-99.875,35.875,0.199779227,748,3.057832479,0.009313353,11.27324677
-99.625,35.875,0.149333403,662,3.234810829,0.009416232,12.58224487
-99.375,35.875,0.217151195,646,2.732215405,0.014642739,11.25279903
-99.125,35.875,0.226950556,542,2.830293655,0.010084362,19.64984322
-98.875,35.875,0.232581228,574,1.594504237,0.009949412,11.37596321
-98.625,35.875,0.211061582,565,2.000636339,0.004160703,11.88766575
-98.375,35.875,0.215682417,483,3.618109941,0.00219962,12.82649231
-98.125,35.875,0.249310538,359,3.408960581,0.006378429,12.39910221
-97.875,35.875,0.242151871,338,5.673689842,0.009094473,11.47025681
-97.625,35.875,0.247386098,294,0.108484156,0.003509307,14.42098427
-97.375,35.875,0.246453285,327,5.069469452,0.012679989,12.17192554
-97.125,35.875,0.26060015,311,0.796564817,0.008167668,12.03482151
-96.875,35.875,0.287917703,287,3.349993229,0.005511419,14.9204073
-96.625,35.875,0.258114547,278,0.968662381,0.007321842,14.62657833
-96.375,35.875,0.26725781,273,4.321696758,0.010450425,10.83039951
-96.125,35.875,0.280858189,258,6.048726082,0.018746946,11.07084751
-95.875,35.875,0.347932428,186,4.532979488,0.006386629,16.64288139
-95.625,35.875,0.360646456,171,3.602228403,0.000501965,14.54211426
-95.375,35.875,0.342928678,159,3.62127161,1.8E-06,17.01593781
-95.125,35.875,0.292634428,260,4.176472664,0.012142831,10.58528137
-94.875,35.875,0.321220577,266,5.568117142,0.035834022,9.938627243
-94.625,35.875,0.319791436,326,4.279963493,0.014384669,12.38817692
-94.375,35.875,0.291763991,446,5.016198158,0.054685187,10.41739655
-94.125,35.875,0.288907498,484,4.227677345,0.034481879,13.38388729
-101.375,35.625,0.180681914,947,1.685972095,0.016689427,10.88938618
-101.125,35.625,0.19119516,918,0.912210524,0.012683252,15.50431061
-100.875,35.625,0.245432451,973,3.697073936,0.002662623,12.0062151
-100.625,35.625,0.200822055,924,1.132896781,0.003472556,14.03811073
-100.375,35.625,0.20583269,835,2.165387154,0.010053299,10.95881176
-100.125,35.625,0.165832207,777,1.666607141,0.006577861,14.38148212
-99.875,35.625,0.158475265,724,5.434391499,0.015796704,11.12416744
-99.625,35.625,0.226472512,595,1.794029951,0.014040006,11.48022652
-99.375,35.625,0.229828343,556,2.656824827,0.009859195,11.13297749
-99.125,35.625,0.231939882,525,0.992229879,0.007912278,11.87259865
-98.875,35.625,0.286909819,522,3.232114315,0.003104432,12.36253548
-98.625,35.625,0.257512778,522,2.646462202,0.005680147,11.67059422
-98.375,35.625,0.228322491,474,1.820590734,0.009526913,13.03970337
-98.125,35.625,0.266996056,417,0.924138069,0.002690268,13.95602417
-97.875,35.625,0.266921163,378,1.412440062,0.00653263,13.04445553
-97.625,35.625,0.298564464,344,0.826984823,0.006010437,11.76845264
-97.375,35.625,0.260646313,322,6.018491268,0.01132203,12.17903423
-97.125,35.625,0.259323806,298,1.588438153,0.012190114,11.82982731
-96.875,35.625,0.257114798,276,2.244430065,0.006996094,11.25607967
-96.625,35.625,0.244260907,258,6.035600185,0.007723499,12.47993851
-96.375,35.625,0.239476711,243,5.369138241,0.007153016,10.73890972
-96.125,35.625,0.295715809,237,5.280745506,0.012255919,11.55123806
-95.875,35.625,0.313450575,210,4.892746449,0.004654688,13.93999863
-95.625,35.625,0.343626708,197,3.548372984,0.004577396,14.59215069
-95.375,35.625,0.349479169,171,1.597032666,0.007102638,13.53963375
-95.125,35.625,0.292058378,230,3.73235321,0.014130166,11.65582943
-94.875,35.625,0.296817183,332,4.535868168,0.017603053,11.58630276
-94.625,35.625,0.306444556,303,4.042423248,0.028979914,11.0431366
-94.375,35.625,0.287295073,324,2.865509987,0.022073817,10.14770603
-94.125,35.625,0.300064147,350,3.157080412,0.026640261,12.08856487
-101.375,35.375,0.226784855,1053,1.394662738,0.004006833,14.08235455
-101.125,35.375,0.240488514,1015,1.897067785,0.002452673,12.89651585
-100.875,35.375,0.195075154,962,1.332389832,0.008362876,10.95929527
-100.625,35.375,0.170302063,829,0.440715164,0.014142426,11.93371582
-100.375,35.375,0.163043946,715,0.725386798,0.009300751,13.41485977
-100.125,35.375,0.167075589,686,1.625908852,0.006745525,13.98608208
-99.875,35.375,0.166069701,618,2.255416393,0.007500099,14.69823837
-99.625,35.375,0.256733209,617,3.229686022,0.009398291,11.0969677
-99.375,35.375,0.219047949,577,3.940213919,0.008488928,13.36787128
-99.125,35.375,0.246268839,528,1.058148742,0.010878326,13.19819355
-98.875,35.375,0.254885107,453,1.039640069,0.013540732,12.69708157
-98.625,35.375,0.264988899,480,2.664588451,0.013730175,10.60354042
-98.375,35.375,0.226504385,427,1.158503175,0.010606554,14.43390942
-98.125,35.375,0.239479735,441,3.37634182,0.016191717,11.49239254
-97.875,35.375,0.290756881,384,3.128806353,0.006125104,14.74366188
-97.625,35.375,0.307420343,380,3.210068226,0.004682063,12.91435146
-97.375,35.375,0.270892054,368,2.309689283,0.004019062,14.72878075
-97.125,35.375,0.271786749,349,1.656821609,0.005892023,11.74539852
-96.875,35.375,0.300099015,314,1.107996821,0.008820389,11.3061142
-96.625,35.375,0.257140577,289,5.503435612,0.005197109,11.83744431
-96.375,35.375,0.24092041,244,0.945363939,0.010300322,11.95964527
-96.125,35.375,0.254693955,250,4.07911396,0.011970063,10.82891273
-95.875,35.375,0.277627021,223,3.492063522,0.017526748,10.86664009
-95.625,35.375,0.281169236,179,2.059791803,1.77E-06,14.84539795
-95.375,35.375,0.347033918,213,3.693056107,0.027369812,10.14495182
-95.125,35.375,0.28991434,144,4.373261929,0.008603102,16.60983086
-94.875,35.375,0.336286068,142,3.142338037,0.002185198,20.13582039
-94.625,35.375,0.344258726,138,4.129401207,0.003685792,16.12913895
-94.375,35.375,0.355816722,150,0.908163846,0.012072925,11.53674507
-94.125,35.375,0.355807066,118,5.497690678,1.46E-06,16.59476471
-101.375,35.125,0.225757644,1036,2.148449898,0.002461811,19.01847839
-101.125,35.125,0.17785266,935,4.059010983,0.010750161,12.92264462
-100.875,35.125,0.214695826,897,1.673628926,0.0176367,11.83819199
-100.625,35.125,0.217783973,790,2.352530479,0.020514864,11.55349064
-100.375,35.125,0.254168034,701,4.198445797,0.011388063,14.57307148
-100.125,35.125,0.259976685,605,2.946434736,0.01064737,12.61710453
-99.875,35.125,0.267345726,611,2.568086863,0.016220139,12.15344715
-99.625,35.125,0.144100502,523,3.424095869,0.00652169,14.36659527
-99.375,35.125,0.219807044,531,3.364852428,0.013255253,11.34544563
-99.125,35.125,0.220279157,496,2.723315954,0.005117915,12.75653076
-98.875,35.125,0.228393957,457,3.140062571,0.007064709,12.44904613
-98.625,35.125,0.234929264,411,3.605125904,0.01243113,11.29310799
-98.375,35.125,0.182894468,405,2.793931723,0.012623133,11.8885746
-98.125,35.125,0.213319957,364,3.440313578,0.014303058,11.47159481
-97.875,35.125,0.240140915,371,2.785724878,0.00583643,11.76225376
-97.625,35.125,0.24474898,360,2.77572155,0.009272541,12.82290649
-97.375,35.125,0.25470832,349,3.368914843,0.006711168,12.24865723
-97.125,35.125,0.253898948,323,1.786251187,0.011888773,12.02339458
-96.875,35.125,0.255209267,292,1.390484214,0.01029665,12.0283308
-96.625,35.125,0.252519995,267,4.112929344,0.005018368,12.41395664
-96.375,35.125,0.292988837,246,0.517757297,0.003004743,16.20697975
-96.125,35.125,0.280120134,250,1.879361987,0.019408543,11.33524704
-95.875,35.125,0.290068209,226,3.103551388,0.005859961,12.47850227
-95.625,35.125,0.283200651,188,1.068203688,0.014242493,14.59993744
-95.375,35.125,0.290103287,189,5.282820702,0.007576359,14.7625494
-95.125,35.125,0.350278229,175,2.95362258,0.006890018,11.19100285
-94.875,35.125,0.288392037,154,1.044718266,0.004721363,14.9473629
-94.625,35.125,0.351961404,132,3.200562,0.002573138,18.66057014
-94.375,35.125,0.359636366,178,2.552137613,0.019261729,12.79651546
-94.125,35.125,0.336728543,203,2.681890488,0.016026154,13.06095791
-101.375,34.875,0.205735996,826,3.907616138,0.035958707,12.87339973
-101.125,34.875,0.208265617,799,1.670508265,0.011161893,13.82001209
-100.875,34.875,0.221897691,871,2.822532415,0.004686852,11.60028839
-100.625,34.875,0.128682807,788,0.793106735,0.006420658,11.89033318
-100.375,34.875,0.129264355,653,2.824813366,0.012549191,12.02191353
-100.125,34.875,0.184923768,607,3.462532759,0.009388325,12.37483215
-99.875,34.875,0.238888577,560,3.243198156,0.009965692,12.71163559
-99.625,34.875,0.236021072,520,2.65680933,0.003596843,14.52572346
-99.375,34.875,0.123446681,468,0.767606318,0.009038561,12.10730076
-99.125,34.875,0.248572692,443,2.28104496,0.004771388,16.11142921
-98.875,34.875,0.26245743,466,3.57915163,0.008993046,13.12864017
-98.625,34.875,0.291316748,603,2.291377306,0.014091225,10.34965229
-98.375,34.875,0.237315685,382,1.794805408,0.004617787,15.70072079
-98.125,34.875,0.201868787,414,3.268722534,0.010803388,11.07196426
-97.875,34.875,0.231254891,356,1.177927494,0.010909376,14.74716282
-97.625,34.875,0.245430663,334,2.471870422,0.010670601,10.82750702
-97.375,34.875,0.285946071,301,4.020280361,0.005115493,15.30413151
-97.125,34.875,0.285729975,314,3.214093208,0.008041229,12.27897644
-96.875,34.875,0.209420994,309,1.655152202,0.005725296,15.42551994
-96.625,34.875,0.281283855,286,4.768378735,0.011943789,11.48724651
-96.375,34.875,0.285618126,263,2.763806105,0.010649567,11.27071476
-96.125,34.875,0.281577736,254,4.152574539,0.012131356,11.59907818
-95.875,34.875,0.281854659,243,5.704645157,0.011830366,10.82668877
-95.625,34.875,0.28706193,206,3.41841507,0.014220713,11.36167908
-95.375,34.875,0.306118727,263,3.362477541,0.025832985,10.04020023
-95.125,34.875,0.302920043,241,5.65445137,0.015354732,11.02723598
-94.875,34.875,0.305339217,204,1.017127395,0.029301099,11.16406631
-94.625,34.875,0.294612527,190,1.761403084,0.014959775,10.43423462
-94.375,34.875,0.312710136,238,5.481305122,0.033539031,10.49689484
-94.125,34.875,0.300882131,209,5.511969566,0.013372546,14.09660816
-101.375,34.625,0.217958435,897,2.161610126,0.101658985,11.49632549
-101.125,34.625,0.188458189,693,3.056572914,0.02050907,15.68059158
-100.875,34.625,0.206692576,621,1.634554267,0.005704687,19.41560555
-100.625,34.625,0.23583366,596,2.470185757,0.006651925,14.08133507
-100.375,34.625,0.208013684,554,3.780731201,0.007878251,13.22507763
-100.125,34.625,0.213283375,513,3.2805233,0.004709175,14.80520248
-99.875,34.625,0.260252595,494,2.530977488,0.005504117,12.27165604
-99.625,34.625,0.252213687,441,1.362181902,0.003699244,13.50319481
-99.375,34.625,0.252530783,413,3.974388599,0.002206723,16.12412071
-99.125,34.625,0.149991244,415,2.801546574,0.002963671,12.04526997
-98.875,34.625,0.300999075,394,4.057435036,0.008332031,14.64175415
-98.625,34.625,0.244444907,380,3.424170256,0.005811348,14.15412235
-98.375,34.625,0.217570007,331,2.852660656,0.004710363,17.51631165
-98.125,34.625,0.203652367,347,5.58128643,0.007171509,12.49531364
-97.875,34.625,0.233991861,386,2.91052866,0.007851206,11.18110847
-97.625,34.625,0.239416093,359,4.279877186,0.006182434,12.24923515
-97.375,34.625,0.283628225,315,4.288324833,0.007442416,11.08892155
-97.125,34.625,0.350573629,278,4.337903976,0.006340291,14.40944862
-96.875,34.625,0.304893702,383,5.156840324,0.008401853,12.20778847
-96.625,34.625,0.292024732,245,1.53979671,0.012460185,13.49994278
-96.375,34.625,0.311878175,208,4.003880501,0.006098748,12.38083553
-96.125,34.625,0.325345635,195,5.902499676,0.006735329,13.22566414
-95.875,34.625,0.301573634,250,3.847514391,0.014834325,12.287467
-95.625,34.625,0.318490505,266,5.266075134,0.086009398,9.914287567
